date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2020-12-29,142.8300018310547,143.05999755859375,140.42999267578125,141.57000732421875,3232400,137.70782470703125,0.0,0.0,-0.6037951244722173,-0.603790325653808,129.27255935668944,105.21952373504638,136.2689948303452,0.0707567937967066,12.832576670545214,15.28857075576249,140.2673305406945,130.30619851203988,22581.41272826087,6.338709677419355,262.5904838709677,112.13999938964844,"8,527.34",1474.41,711.76,136.08,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-30,142.16000366210938,142.61000061035156,140.66000366210938,141.5800018310547,3052100,137.7175750732422,0.0,0.0,0.0070597628868185,0.0070804736271856,129.55281707763672,105.57071109771728,136.46213886273148,0.0699287315154206,12.9155585106383,15.23333610372348,140.35156734192034,130.8456662396226,22587.67015217392,6.325806451612903,262.6103225806451,112.29000091552734,"8,573.84",1476.02,712.69,137.56,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-31,141.6999969482422,141.7899932861328,140.3699951171875,141.47000122070312,2949900,137.6105499267578,0.0,0.0,-0.0776950197265979,-0.0777134991140071,129.81035400390624,105.93005928039553,136.61526033793498,0.0686663726173483,12.00470620013298,12.58428046043891,140.33972167741334,131.45692444075073,22593.92757608696,6.312903225806451,262.6301612903226,112.41000366210938,"8,502.31",1449.32,700.73,135.17,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-04,142.85000610351562,142.97000122070312,138.32000732421875,140.10000610351562,6178500,136.27792358398438,0.0,0.0,-0.9683997351849992,-0.9684041982847336,130.02298828125,106.27163291931151,136.5702821040749,0.0694083989025253,0.6632054105718085,8.527823373781105,140.28551998354288,131.8433099725118,22623.257566666667,6.290322580645161,262.7456129032258,111.62999725341795,"8,559.74",1458.95,707.24,135.33,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-05,138.60000610351562,141.66000366210938,138.60000610351562,141.22999572753906,4163100,137.37709045410156,0.0,0.0,0.8065592967844148,0.806562678099354,130.2461508178711,106.63266414642334,136.67785655074513,0.0696533925688031,1.9210789295632704,4.862996846756097,140.3322670653881,132.18953927006115,22630.948422222224,6.287096774193548,262.7774838709677,112.48999786376952,"8,636.72",1461.06,693.69,139.27,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-06,141.25,143.57000732421875,139.52999877929688,142.35000610351562,6072900,138.46653747558594,0.0,0.0,0.7930400126452408,0.7930339897891159,130.4916847229004,107.02160694122314,136.91634734072392,0.0696383071457199,12.027267657308508,4.870517332481274,140.57331153265667,132.29867485650348,22638.63927777778,6.283870967741936,262.8093548387097,113.16999816894533,"8,796.49",1471.57,714.72,140.72,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-07,143.1999969482422,145.63999938964844,143.0,144.9499969482422,5256900,140.99562072753906,0.0,0.0,1.8264775084279703,1.826494182682259,130.8192529296875,107.3771552658081,137.46025045896596,0.07117563639389,35.488153912789926,16.478833499887312,141.29072827390425,132.14835406252152,22646.330133333333,6.280645161290322,262.8412258064516,114.47000122070312,"8,936.26",1480.24,719.78,140.91,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-08,145.5500030517578,146.82000732421875,144.89999389648438,146.35000610351562,3950500,142.357421875,0.0,0.0,0.9658566296992356,0.9658464145439584,131.18143508911132,107.70724124908448,138.1132066477705,0.071499334369454,48.12081904885927,31.87874687298598,142.2251657139681,131.94929412489907,22654.02098888889,6.27741935483871,262.8730967741935,115.30999755859376,"8,767.18",1470.55,712.65,140.69,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-11,146.0,147.10000610351562,144.8000030517578,147.0500030517578,4252000,143.03834533691406,0.0,0.0,0.4783033269893266,0.4783196077489782,131.67197998046876,108.01517559051514,138.769891806323,0.0714442983600146,48.99629383737568,44.20175559967504,143.0906459494546,132.00497935572116,22677.093555555555,6.267741935483871,262.9687096774193,114.25,"8,849.43",1474.26,711.99,141.48,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-12,146.5,146.85000610351562,144.3800048828125,145.0500030517578,3678800,141.09288024902344,0.0,0.0,-1.3600815766702468,-1.360100386583929,132.1084716796875,108.3185517501831,139.07962359868304,0.0722883646415201,31.58170057316052,42.89960448646523,143.3606640175941,132.47811924656605,22684.78441111111,6.264516129032258,263.0005806451613,114.56999969482422,"8,852.66",1478.0,715.12,141.71,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-13,144.8300018310547,145.1300048828125,142.42999267578125,143.0399932861328,3330100,139.1376953125,0.0,0.0,-1.385735762382423,-1.3857431594511471,132.55983444213868,108.6017652130127,139.08736649385864,0.0741601180751423,9.313076332189793,29.963690247575403,143.08786038824604,133.40848055413676,22692.475266666668,6.2612903225806456,263.03245161290323,114.75,"8,819.93",1469.33,711.06,141.71,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-14,143.66000366210938,144.89999389648438,140.92999267578125,141.3000030517578,4104000,137.4451904296875,0.0,0.0,-1.216436182917302,-1.21642440534262,132.93249755859375,108.88927013397216,138.86840968530248,0.0754300906951549,-9.963747336663156,10.310343189562465,143.03483097378603,133.64729793246397,22700.166122222225,6.258064516129032,263.0643225806451,114.66000366210938,"8,738.08",1458.98,705.04,140.27,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-15,140.55999755859375,142.3800048828125,139.8800048828125,140.72000122070312,6412400,136.88099670410156,0.0,0.0,-0.4104754554338119,-0.4104863355510191,133.25116333007813,109.19091106414795,138.60342128780903,0.0756426476123859,-16.38964487683479,-5.680105293769306,142.86402828863456,134.04960543939276,22707.856977777778,6.254838709677419,263.0961935483871,113.5500030517578,"8,794.01",1459.65,716.85,140.66,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-19,140.99000549316406,141.22000122070312,138.41000366210938,139.27000427246094,6537800,135.47056579589844,0.0,0.0,-1.0304128309152285,-1.030406661380534,133.48822845458983,109.48110363006592,138.18570722222094,0.0759558989458103,-32.45378046110051,-19.60239089153274,142.93697874899271,133.85700928811667,22738.6204,6.241935483870968,263.22367741935483,114.47000122070312,"8,874.73",1497.11,733.2,141.23,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-20,140.3800048828125,143.2100067138672,140.00999450683594,142.8000030517578,4654400,138.90426635742188,0.0,0.0,2.534643980042506,2.534646948102881,133.7481475830078,109.7946484375,138.2815151069144,0.0798217602149888,6.654431827266313,-14.06299783688958,142.58786817482903,134.74305986472172,22746.31125555556,6.238709677419354,263.2555483870967,115.81999969482422,"8,851.05",1502.47,742.2,140.01,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2021-01-21,142.41000366210938,143.80999755859375,141.1300048828125,141.61000061035156,4011200,137.74673461914062,0.0,0.0,-0.8333350251924942,-0.8333305870553587,134.00044815063475,110.07453044891358,138.21021104187793,0.0797172466192861,-6.529302787944512,-10.776217140592824,142.43120197935892,134.66530223206686,22754.00211111112,6.235483870967742,263.2874193548387,115.8000030517578,"8,830.54",1495.97,741.57,139.19,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
