date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2014-01-27,87.1500015258789,87.7699966430664,85.70999908447266,85.72000122070312,5651400,74.28938293457031,0.0,-1.414601231408008,-1.4145827629833296,74.7841864013672,69.57818557370094,76.60246161758923,0.0690859500848739,-144.3819325218465,-134.24350259871696,79.50041044532006,74.56026231468971,17290.40488888889,6.683870967741935,235.5052258064516,67.70999908447266,"4,525.52",591.63,178.48,81.05,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-28,85.8499984741211,87.18000030517578,85.5999984741211,86.63999938964844,4108700,75.08668518066406,0.0,1.0732596311759268,1.0732384825379082,74.87795181274414,69.62225357055664,76.40035809266588,0.0692502069259108,-131.0886245978398,-139.12881124390367,79.5476209386562,74.31195013678325,17293.969,6.687096774193549,235.51358064516128,68.29000091552734,"4,443.71",582.18,176.82,80.16,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-29,86.29000091552734,86.9000015258789,85.43000030517578,85.55000305175781,3357900,74.14204406738281,0.0,-1.2580751911003052,-1.2580674070354458,74.94504455566407,69.65812492370605,76.09924955596148,0.0705687639494298,-137.82604240414352,-137.76553317460994,79.64896014189159,73.88046643281544,17297.53311111111,6.690322580645161,235.52193548387092,67.52999877929688,"4,474.21",591.69,179.67,81.22,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-30,86.44999694824219,86.9800033569336,86.06999969482422,86.62000274658203,4259000,75.06936645507812,0.0,1.2507301655814818,1.2507375529767328,75.01495086669922,69.70073312474048,75.96193180917703,0.0709416772532608,-126.50342810299212,-131.8060317016585,79.46415490040248,73.72931586375769,17301.097222222223,6.693548387096774,235.53029032258064,67.7699966430664,"4,444.99",586.18,180.53,80.3,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-31,85.27999877929688,85.91000366210938,84.91000366210938,85.0199966430664,4778000,73.68269348144531,0.0,-1.847155452299687,-1.847188858937021,75.0650764465332,69.73184219002724,75.65803336547947,0.07336703268388,-128.90139335007538,-131.07695461907034,79.53876627180713,73.29073049332959,17304.661333333333,6.696774193548388,235.5386451612904,67.37999725341797,"4,334.94",571.05,176.34,78.32,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-02-03,84.98999786376953,85.41999816894531,82.7699966430664,82.86000061035156,5769800,71.81072235107422,0.0,-2.5405741213834765,-2.5405845550997563,75.0756883239746,69.74795754011288,75.14505856355878,0.0742121575630275,-101.00707951160652,-118.80396698822469,79.81309225616013,72.44016549530471,17315.35366666667,6.7,235.5813571428572,66.05999755859375,"4,370.52",576.04,177.44,79.05,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-02-04,83.19000244140625,84.70999908447266,82.62999725341797,84.0,5380500,72.79874420166016,0.0,1.375813880341714,1.3758695334599391,75.10969100952148,69.77142512981709,74.83221664863896,0.0754675451357955,-89.45630698613381,-106.45492661593858,79.79673011164188,71.98254540105343,17318.91777777778,6.7,235.5985357142857,66.37999725341797,"4,362.54",577.26,177.28,78.96,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-02-05,83.51000213623047,84.12000274658203,82.94999694824219,83.72000122070312,3260100,72.55607604980469,0.0,-0.3333318801153284,-0.3333411235546202,75.10945037841798,69.79268200706889,74.52873123546107,0.0740555306354497,-91.66438733701636,-94.04259127825225,79.77673100190711,71.53368769926476,17322.48188888889,6.7,235.6157142857143,66.2699966430664,"4,422.27",588.89,179.02,80.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-02-06,84.5,85.76000213623047,84.31999969482422,85.69000244140625,5432400,74.26338195800781,0.0,2.3530831246762585,2.353084677610151,75.14508407592774,69.82655094609116,74.49335133180062,0.0775666830642011,-76.12930949501626,-85.75000127272214,79.56570882725447,71.42231683802873,17326.046000000002,6.7,235.63289285714285,67.41000366210938,"4,474.62",595.63,181.77,80.96,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-02-07,85.95999908447266,87.16999816894531,85.77999877929688,87.0,4495200,75.39867401123047,0.0,1.5287635911663155,1.5287373444217822,75.19063049316406,69.86844660823506,74.61406102239128,0.0790802842931204,-71.73930484723806,-79.84433389309022,79.41970587566541,71.40539101764514,17329.610111111113,6.7,235.65007142857144,68.1500015258789,"4,485.32",595.44,182.64,81.1,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
