date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2016-03-07,66.62000274658203,68.4800033569336,66.2699966430664,67.88999938964844,12825400,58.02494430541992,0.0,1.66217524804102,1.6621761261868429,55.160024871826174,55.84903915405273,56.819803742291285,0.0700348683799742,-70.55547673098751,-86.7351718868241,58.18473877507228,55.0096341649912,18660.66656043956,5.019354838709678,238.25651612903224,67.55999755859375,"5,324.01",708.02,211.26,84.48,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-08,67.7300033569336,68.47000122070312,67.48999786376953,68.04000091552734,10067900,58.15315246582031,0.0,0.2209478969324774,0.2209535259966033,55.27882690429688,55.819441604614255,56.99758357209516,0.0693590511968902,-68.46399127785412,-76.3897550049091,58.36311287138707,54.92869582917445,18662.70797802198,5.02258064516129,238.285935483871,66.79000091552734,"5,351.42",711.16,213.42,84.6,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-09,67.79000091552734,67.98999786376953,67.12000274658203,67.52999877929688,7824800,58.14453125,0.5,-0.7495622124750412,-0.0148250188592657,55.4019010925293,55.79085325241089,57.15050992914914,0.0690957638562888,-105.06869854610215,-81.36272218498127,58.57114315186999,54.910399816880016,18664.7493956044,5.025806451612903,238.31535483870968,67.30000305175781,"5,355.72",710.51,213.07,84.51,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-10,67.55000305175781,68.04000091552734,66.4000015258789,67.41000366210938,10225800,58.04122161865234,0.0,-0.1776915731624306,-0.1776772967752804,55.52427635192871,55.7657893371582,57.26927148774956,0.0691460851716066,-173.26655948231956,-115.5997497687586,58.7331336302381,54.92952124647088,18666.790813186813,5.029032258064516,238.3447741935484,67.04000091552734,"5,394.92",721.08,216.78,86.66,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-11,67.7699966430664,67.94000244140625,66.80000305175781,67.16999816894531,8290900,57.8345832824707,0.0,-0.3560383921162202,-0.3560199637756001,55.62781806945801,55.73847152709961,57.34464639371238,0.0693345169690165,-195.70561183401853,-158.0136232874801,58.82230772275357,55.04096627932164,18668.832230769232,5.032258064516129,238.3741935483871,68.62000274658203,"5,390.71",723.54,216.81,86.32,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-14,67.1500015258789,67.66999816894531,66.95999908447266,67.36000061035156,6712500,57.998172760009766,0.0,0.2828680163550867,0.2828575365366959,55.733434982299805,55.71344476699829,57.43178324255204,0.0612349602641236,-191.1614673843937,-186.711212900244,58.94345106977477,55.06329751115785,18674.95648351649,5.041935483870968,238.46245161290324,68.36000061035156,"5,390.43",721.92,217.35,86.16,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-15,67.0,68.3499984741211,67.0,68.08999633789062,7566900,58.626712799072266,0.0,1.0837228636053189,1.083723864307462,55.858118515014645,55.69396011352539,57.5911071834214,0.0597922557858253,-173.70205145594034,-186.85637689145085,59.159517742395934,55.07749130606598,18676.9979010989,5.04516129032258,238.491870967742,68.19000244140625,"5,417.06",726.95,219.92,86.19,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-16,67.94000244140625,68.33999633789062,67.25,67.98999786376953,8218000,58.54061508178711,0.0,-0.1468622110432527,-0.1468574872690475,55.97834510803223,55.67210859298706,57.71770823653683,0.0589261198752369,-176.0936506590938,-180.3190564998093,59.334172521208814,55.10653792800994,18679.03931868132,5.048387096774193,238.52129032258063,68.68000030517578,"5,474.06",727.1,220.9,87.24,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-17,67.81999969482422,68.91999816894531,67.26000213623047,67.44999694824219,11838100,58.07565307617188,0.0,-0.7942358177585707,-0.7942554156044279,56.06431541442871,55.6487741279602,57.76543421515483,0.0587826052498414,-168.42432265533083,-172.74000825678831,59.19480420696462,55.57319391620433,18681.08073626374,5.051612903225807,238.5507096774193,69.08999633789062,"5,471.95",729.62,221.64,87.98,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-18,67.4800033569336,68.02999877929688,66.75,66.94999694824219,23153100,57.6451416015625,0.0,-0.7412898778686006,-0.7412942460495731,56.13090644836426,55.62177183151245,57.74939520000919,0.0593425677774644,-179.08054485950774,-174.53283939131077,59.01558268206312,55.99049985272692,18683.12215384616,5.054838709677419,238.58012903225807,69.12000274658203,"5,477.69",729.46,222.29,87.82,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
