,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-10,170.24484252929688,215.83560180664062,169.43991088867188,209.30999755859375,212.2054443359375,229.6300048828125,58.4986572265625,116.19461822509766,376.96209716796875,367.7187805175781,204.61595153808594,122.56257629394531,163.69149780273438,158.4495849609375,56.89842987060547,252.8924102783203,160.49114990234375,78.19456481933594,308.6161193847656,146.9414825439453,152.7537078857422,157.8831787109375,452.3105163574219,208.72113037109375,48.152793884277344,47.90779495239258,140.75390625
2022-01-11,173.10218811035156,217.71878051757812,171.039306640625,216.02000427246094,210.5873565673828,234.83999633789062,59.019107818603516,118.85079193115234,380.6261901855469,366.96905517578125,207.34786987304688,120.60200500488281,161.95138549804688,158.61058044433594,56.917266845703125,250.7021942138672,161.9114532470703,77.530029296875,309.3133239746094,146.8047637939453,150.98370361328125,157.01707458496094,456.201416015625,211.0941925048828,47.90250778198242,48.442779541015625,140.3548126220703
2022-01-12,173.54710388183594,217.13787841796875,170.15182495117188,217.4499969482422,212.93310546875,237.8300018310547,58.782535552978516,118.25641632080078,368.594970703125,369.5599365234375,209.2074737548828,121.25552368164062,160.57066345214844,159.5102081298828,57.00199890136719,249.55450439453125,162.3094482421875,77.0838623046875,312.5440979003906,148.67034912109375,151.3167266845703,156.834228515625,460.79254150390625,212.40380859375,47.77737045288086,48.06828689575195,139.6151123046875
2022-01-13,170.24484252929688,216.2853240966797,169.00103759765625,223.89999389648438,217.33729553222656,228.6300048828125,58.19585418701172,117.7641830444336,369.0577087402344,367.26324462890625,210.3385772705078,122.31749725341797,159.5966033935547,159.31134033203125,57.34096145629883,250.02310180664062,163.7568817138672,77.19778442382812,299.3164367675781,146.11123657226562,150.63160705566406,156.9112091064453,454.6742248535156,211.70469665527344,47.83993911743164,48.317935943603516,141.59097290039062
2022-01-14,171.11488342285156,220.51077270507812,164.23207092285156,225.9600067138672,219.19471740722656,231.22999572753906,58.06336975097656,119.770263671875,359.7463073730469,353.0464782714844,208.63233947753906,121.81829833984375,158.72654724121094,149.51950073242188,57.802330017089844,246.4842987060547,161.69430541992188,77.25474548339844,304.61932373046875,144.73406982421875,152.0780487060547,157.06520080566406,455.89984130859375,211.37973022460938,47.62540817260742,48.416019439697266,141.19189453125
2022-01-17,167.88182067871094,219.0773162841797,162.05726623535156,225.00999450683594,220.0851287841797,226.05999755859375,56.52094650268555,120.16032409667969,334.682861328125,348.0354919433594,204.74057006835938,120.66555786132812,158.02674865722656,143.25047302246094,57.34096145629883,245.30789184570312,161.27816772460938,77.4066390991211,297.20513916015625,143.53265380859375,149.14706420898438,157.41163635253906,448.4100036621094,212.40380859375,47.759490966796875,47.720542907714844,138.7196044921875
2022-01-18,167.88182067871094,219.0773162841797,162.05726623535156,225.00999450683594,220.0851287841797,226.05999755859375,56.52094650268555,120.16032409667969,334.682861328125,348.0354919433594,204.74057006835938,120.66555786132812,158.02674865722656,143.25047302246094,57.34096145629883,245.30789184570312,161.27816772460938,77.4066390991211,297.20513916015625,143.53265380859375,149.14706420898438,157.41163635253906,448.4100036621094,212.40380859375,47.759490966796875,47.720542907714844,138.7196044921875
2022-01-19,164.35215759277344,216.70692443847656,157.39556884765625,217.0800018310547,213.25437927246094,226.27000427246094,55.735538482666016,119.72381591796875,327.9967956542969,341.3636474609375,201.99905395507812,119.4311294555664,157.5349884033203,141.03453063964844,57.43511199951172,244.10276794433594,161.45907592773438,77.16930389404297,297.8728942871094,141.73544311523438,154.16209411621094,154.04342651367188,449.8982238769531,211.38958740234375,47.82206726074219,47.72945785522461,140.1017608642578
2022-01-20,162.651611328125,214.45834350585938,156.9372100830078,214.19000244140625,208.4151153564453,222.94000244140625,54.9595947265625,119.29660034179688,328.7333679199219,331.76873779296875,200.26405334472656,118.74129486083984,156.27719116210938,139.83184814453125,57.199729919433594,242.10379028320312,157.01736450195312,76.65667724609375,296.174072265625,139.41078186035156,154.99447631835938,158.9610137939453,450.3651428222656,211.0646514892578,47.7326774597168,47.417388916015625,137.45428466796875
2022-01-21,160.5753173828125,213.352783203125,154.81114196777344,205.44000244140625,205.97142028808594,218.6300048828125,53.63481140136719,117.86634063720703,324.7765197753906,331.313232421875,196.60232543945312,117.40702056884766,155.9178009033203,137.38864135742188,56.917266845703125,243.5001983642578,156.18508911132812,75.92571258544922,290.7042541503906,139.6256866455078,155.587646484375,156.48777770996094,448.5850830078125,202.773681640625,47.51814651489258,46.811065673828125,136.45176696777344
