date,open,high,low,close,volume,adjclose,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2021-03-25,206.1699981689453,208.1699981689453,204.3699951171875,205.44000244140625,7977200,205.44000244140625,-1.9519860457779648,-1.9519860457779648,224.1307992553711,225.3234000396729,212.93917635552287,0.1168622258699449,7.753674547792618,43.64447627384084,219.08178464162623,204.53721407663545,23238.52601111112,6.1,266.27348387096777,117.02999877929688,"8,740.05",1526.46,728.33,155.58,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-26,205.63999938964844,209.4100036621093,204.7700042724609,209.08999633789065,7333200,209.08999633789065,1.776671462767032,1.776671462767032,223.94899932861327,225.4583499908448,212.4259523531719,0.116592288910807,34.202899832706215,28.054641508460275,218.45565043232324,204.4223479197276,23246.21686666667,6.1,266.33012903225807,118.5,"8,725.35",1523.49,725.25,154.38,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-29,209.009994506836,211.6499938964844,205.9900054931641,210.7700042724609,5686900,210.7700042724609,0.8034855631521509,0.8034855631521509,223.85239929199216,225.65194999694825,212.2051592757438,0.1172673557284421,46.37686768089677,29.444480687131875,217.504321167288,204.69667828339564,23269.28943333333,6.1,266.50006451612904,118.33999633789062,"8,762.84",1526.65,720.14,154.92,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-30,208.63999938964844,211.2899932861328,207.3600006103516,210.0,4717900,210.0,-0.3653291535096969,-0.3653291535096969,223.7895993041992,225.82639999389647,211.91113803897795,0.1103700436489726,40.797127810021486,40.45896510787483,217.2480077438348,204.6059915847785,23276.980288888888,6.1,266.5567096774193,118.08000183105467,"8,797.62",1528.77,733.83,153.77,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-31,210.44000244140625,213.6699981689453,210.1100006103516,211.8699951171875,6838000,211.8699951171875,0.8904738653273903,0.8904738653273903,223.69179931640625,225.99269996643068,211.9056523160725,0.1112882661624658,57.42726954083421,48.20042167725083,217.10854265728247,205.3324561830496,23284.671144444445,6.1,266.6133548387097,118.48999786376952,"8,798.03",1550.88,750.65,156.1,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-01,213.6000061035156,218.92999267578125,213.3699951171875,218.72000122070312,7763500,218.72000122070312,3.2331176010679696,3.2331176010679696,223.5973992919922,226.1838999938965,212.81423217002333,0.1173789001660388,98.55775075350763,65.59404936812112,217.9988017315057,205.78119704779112,23292.362,6.1,266.67,119.77999877929688,"8,951.16",1572.01,766.31,157.17,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-05,219.6100006103516,221.83999633789065,218.92999267578125,220.2899932861328,5553200,220.2899932861328,0.7178090968669393,0.7178090968669393,223.559799194336,226.37834999084475,213.811000318838,0.1178814526020811,91.12763054692316,82.37088361375501,219.50424047705977,205.2287581801668,23315.949296703297,6.06,266.90653333333336,121.41999816894533,"8,996.56",1580.04,764.79,157.15,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-06,219.82000732421875,221.5500030517578,218.25,221.08999633789065,5448500,221.08999633789065,0.3631590522219952,0.3631590522219952,223.4661990356445,226.54549995422363,214.78153312137832,0.1163715936384948,95.70692645910522,95.13076925317868,220.81583280069947,205.25416536824585,23321.846120879123,6.05,266.96566666666666,121.12000274658205,"8,915.54",1581.26,769.32,157.63,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-07,221.9600067138672,222.67999267578125,219.38999938964844,220.7899932861328,4403400,220.7899932861328,-0.1356927299864474,-0.1356927299864474,223.3635989379883,226.71469993591307,215.5826611433456,0.1146304276584145,89.67777366654333,92.17077689085724,221.9728415502136,205.02315606941536,23327.742945054943,6.04,267.0248,121.19000244140624,"8,939.31",1587.61,779.87,157.72,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-08,223.0,225.7100067138672,222.4499969482422,224.4499969482422,6169100,224.4499969482422,1.6576854809566388,1.6576854809566388,223.3273989868164,226.87869995117188,216.76497258399849,0.1139008553569588,94.09555257307804,93.16008423290889,223.8659431704458,204.37905347262063,23333.63976923077,6.029999999999999,267.08393333333333,122.02999877929688,"8,945.25",1601.51,786.25,158.76,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-09,224.3300018310547,231.3099975585937,223.6300048828125,231.27999877929688,7319300,231.27999877929688,3.042994842468038,3.042994842468038,223.4573989868164,227.0897999572754,218.70030941003827,0.1117450224683103,99.88864596667308,94.55399073543153,227.28789081827665,202.49010600789524,23339.5365934066,6.02,267.1430666666667,122.55999755859376,"9,027.88",1600.91,782.31,159.4,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-12,229.5200042724609,229.8500061035156,227.1499938964844,228.759994506836,6205700,228.759994506836,-1.0895902307858862,-1.0895902307858862,223.5025988769532,227.3058499145508,220.041600756278,0.0915008825817678,90.53451068794816,94.83956974256644,229.4949093105176,201.93808629495123,23357.22706593407,5.989999999999999,267.3204666666667,122.4800033569336,"9,095.78",1603.69,790.98,158.53,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-13,229.0,233.4900054931641,228.5,232.0,5397100,232.0,1.4163339617789816,1.4163339617789816,223.63139892578124,227.5241499328613,221.63605398877425,0.092275867739498,94.88322471755268,95.10212712405796,232.16827115811128,201.1847241421817,23363.12389010989,5.98,267.37960000000004,123.11000061035156,"9,031.64",1592.83,780.71,159.16,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-14,232.8500061035156,233.13999938964844,227.6600036621093,228.0200042724609,4617600,228.0200042724609,-1.715515399801315,-1.715515399801315,223.6225988769532,227.7483999633789,222.48724735993247,0.0919225283350836,81.21566184187981,88.87779908246023,233.60585272933565,201.1011434254495,23369.020714285714,5.97,267.43873333333335,122.69000244140624,"9,093.51",1606.28,795.22,160.0,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-15,229.8699951171875,233.0800018310547,229.5,233.0,5073900,233.0,2.184017031062102,2.184017031062102,223.59859893798827,227.99674995422365,223.88894771194148,0.0853833702464896,98.29385281219685,91.46424645720975,235.89016898254016,200.80482766052623,23374.91753846154,5.96,267.4978666666667,124.01000213623048,"9,144.67",1616.26,793.66,160.81,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-16,234.0,234.0,229.88999938964844,231.9100036621093,5088700,231.9100036621093,-0.4678095870775167,-0.4678095870775167,223.5403988647461,228.2196499633789,224.95842183863053,0.0855244177024208,92.53839076126718,90.68263513844796,237.4862058865222,201.45179155000125,23380.814362637364,5.949999999999999,267.557,124.44000244140624,"9,038.41",1605.29,785.82,160.49,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-19,230.8300018310547,232.1999969482422,228.8699951171875,230.5,4257700,230.5,-0.6079960501245707,-0.6079960501245707,223.3907989501953,228.4126999664307,225.69729892681312,0.0829110464321829,86.86186156085273,92.56470171143891,238.70306532111888,202.0649324205804,23398.50483516484,5.92,267.7344,123.93000030517578,"8,995.89",1587.21,778.9,158.55,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-20,230.0,231.4499969482422,226.88999938964844,227.9600067138672,4081200,227.9600067138672,-1.1019493649166212,-1.1019493649166212,223.1721990966797,228.58985000610352,225.9989932984204,0.0822338333005665,74.71748245941794,84.70591159384595,239.4687229259285,202.5782756702629,23404.40165934066,5.91,267.79353333333336,122.70999908447266,"9,123.10",1596.1,785.73,160.58,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-21,227.1100006103516,230.7899932861328,226.6699981689453,230.5599975585937,4024000,230.5599975585937,1.140546924088337,1.140546924088337,223.004799194336,228.75404998779297,226.6071271997768,0.0811997081159558,83.32524659617398,81.63486353881488,240.48800646033305,203.1149918917177,23410.29848351649,5.9,267.85266666666666,123.7699966430664,"9,040.88",1584.03,776.36,159.3,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-04-22,230.0,233.88999938964844,229.009994506836,231.3500061035156,4975400,231.3500061035156,0.342647707012178,0.342647707012178,222.8977993774414,228.9288999938965,227.23951105360865,0.0811948237006091,83.17464192708333,80.40579032755842,241.1041789086371,204.68082017583555,23416.19530769231,5.89,267.9118,122.91999816894533,"9,100.46",1596.4,789.32,161.81,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
