date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2017-06-26,212.7899932861328,213.47000122070312,212.3099975585937,212.6100006103516,1352100,170.19651794433594,0.0,-0.1362110354375167,-0.1362315972966765,160.57399566650392,146.02022438049318,168.40152070344456,0.0299116698311277,-323.4107143377139,-323.6652213541288,173.04083174397414,161.2379387028032,19678.641593406595,4.3,244.22966666666667,80.6500015258789,"5,972.62",830.29,292.39,109.82,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-27,212.0,212.5,209.3800048828125,209.77999877929688,2240200,167.93109130859375,0.0,-1.3310765358781065,-1.33106520809263,160.90300750732422,146.16999015808105,168.33879678413115,0.0338440130775999,-345.0273580482748,-329.87778421648824,172.83262553145332,162.03371663163264,19681.43227472528,4.3,244.2323333333333,80.30999755859375,"6,006.65",838.53,296.23,111.11,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-28,210.77999877929688,211.17999267578125,210.08999633789065,210.6199951171875,1542900,168.60353088378906,0.0,0.4004177437213041,0.4004258949044992,161.24769622802734,146.31345542907715,168.37409466408553,0.0338803228910435,-406.79646440516007,-358.4115122637163,172.8001153110261,162.55853794825123,19684.222956043955,4.3,244.235,80.9000015258789,"5,939.58",830.48,290.73,111.2,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-29,211.0500030517578,211.0500030517578,207.0800018310547,207.8500061035156,1809900,166.38613891601562,0.0,-1.3151595659902426,-1.3151515606762645,161.55424407958984,146.45380737304689,168.10903389767623,0.0353142951599246,-431.2439856530488,-394.35593603549455,172.61124198450307,163.0275931595399,19687.01363736264,4.3,244.23766666666663,80.30000305175781,"5,981.97",831.77,290.32,111.08,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-30,209.9100036621093,209.9100036621093,207.8500061035156,208.19000244140625,1770000,166.6582489013672,0.0,0.1635777377467562,0.1635412583790518,161.84506744384765,146.5972873687744,167.91559589816836,0.0353182809060593,-539.6758782964766,-459.2387761182285,172.57628381360993,163.18182470689786,19689.80431868132,4.3,244.24033333333333,80.33000183105469,"5,982.49",829.49,287.81,112.4,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-07-03,209.13999938964844,210.33999633789065,208.75,209.8300018310547,1040200,167.9711456298828,0.0,0.7877416640647894,0.7877778250824141,162.15673706054687,146.74352195739746,167.92300252906364,0.0357740838217689,-522.147229890092,-497.6890312798725,172.53241987374747,163.5146763786939,19700.08397826087,4.306451612903226,244.30364516129032,80.37000274658203,"5,964.55",828.64,290.66,112.3,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-07-05,210.0,210.2400054931641,209.4100036621093,209.759994506836,1065300,167.91510009765625,0.0,-0.0333638295800575,-0.0333661665617546,162.4238375854492,146.89548583984376,167.92194887154267,0.0338101696927664,-522.8955007996088,-528.2395363287259,172.3798147961333,164.01550685914015,19707.57295652174,4.312903225806451,244.36429032258064,80.43000030517578,"5,913.17",820.93,288.14,111.23,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-07-06,209.0500030517578,209.72000122070312,207.88999938964844,208.0200042724609,1189900,166.522216796875,0.0,-0.8295148169057964,-0.8295164044038739,162.6487579345703,147.0339649963379,167.73531792825366,0.0348490584116747,-541.4920599350127,-528.8449302082378,172.1269624767056,164.50931682016935,19711.317445652174,4.316129032258065,244.3946129032258,79.91000366210938,"5,943.01",826.37,291.83,111.9,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-07-07,208.5,210.1499938964844,208.0500030517578,209.58999633789065,1531000,167.77899169921875,0.0,0.7547312917912219,0.7547190558223171,162.90088287353515,147.1752716064453,167.74114109771568,0.0351877550735109,-524.7127010481497,-529.7000872609237,171.9220698632242,165.0063969336508,19715.06193478261,4.319354838709677,244.42493548387097,80.26000213623047,"5,932.16",824.46,294.11,111.59,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-07-10,209.6000061035156,211.7400054931641,208.9900054931641,210.4900054931641,1308400,168.49948120117188,0.0,0.4294141757712921,0.429427721943143,163.1497509765625,147.3123641204834,167.84225311150985,0.0342015829094526,-515.0933556069388,-527.0993721967005,171.80103993181513,165.41240916486458,19726.29540217392,4.329032258064516,244.51590322580645,80.4000015258789,"5,916.14",823.13,295.29,111.12,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
