symbol,date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
HD,2020-03-09,213.8699951171875,216.17999267578125,207.25,210.4600067138672,10120500,192.42367553710938,0.0,-7.898992703546181,-7.898979742078427,211.1541796875,201.4625830078125,210.89820616122176,0.14157875535541006,-36.964159155520576,-13.317077218196863,233.74873004444655,197.6949634980339
HD,2020-03-10,217.2100067138672,225.8300018310547,211.0,225.6999969482422,7206600,206.35757446289062,0.0,7.241276132379237,7.24126014477573,211.24341522216798,201.6335523223877,210.29278860144427,0.1603613519819546,-2.22494520949735,-16.30144390162199,233.4151795370087,196.665293790628
HD,2020-03-11,217.3000030517578,219.14999389648438,210.5,212.88999938964844,7253900,195.9476776123047,1.5,-5.675674670714049,-5.0445915918913675,211.13999542236328,201.74534339904784,208.38010713622566,0.16741614266811097,-28.17831517254681,-22.455806512521576,233.80362816864948,193.77845953887004
HD,2020-03-12,195.41000366210938,206.5800018310547,184.83999633789062,190.58999633789062,10928700,175.42234802246094,0.0,-10.474894600822726,-10.474903219039145,210.67471069335937,201.7636540222168,203.98573925439038,0.1961119521133636,-15.15797131062992,-15.18707723089136,237.55778658159844,185.47795560590154
HD,2020-03-13,200.4499969482422,205.82000732421875,190.0,205.6699981689453,10292300,189.30224609375,0.0,7.912273529991509,7.91227470602085,210.4674578857422,201.85835845947267,202.02794016630503,0.21378480699358748,7.182117181989473,-12.05138976706242,237.28320985321685,182.523775620416
HD,2020-03-16,181.97000122070312,186.10000610351562,163.11000061035156,164.9600067138672,12536600,151.83204650878906,0.0,-19.793840529738983,-19.79384838698861,209.48739501953125,201.76082489013672,195.3351543453029,0.2890745407180037,-14.420090951817857,-7.465315026819435,243.2085346331595,169.3785533795358
HD,2020-03-17,168.2100067138672,174.77999877929688,155.3000030517578,173.63999938964844,16234400,159.82125854492188,0.0,5.261877014128169,5.261874696308166,208.6804653930664,201.70875198364257,190.59996823858543,0.29470281993782654,5.256051230645578,-0.6606408463942687,244.56138998285076,161.70438150152427
HD,2020-03-18,159.8000030517578,162.3300018310547,140.6300048828125,155.6300048828125,14681900,143.2445526123047,0.0,-10.372030966448854,-10.37202815416316,207.52316619873048,201.57505081176757,184.285912821748,0.30877111694781756,2.596630912799561,-2.1891362694575727,247.36230821705158,150.95190534496015
HD,2020-03-19,153.16000366210938,162.91000366210938,142.0,161.1300048828125,13499100,148.30686950683594,0.0,3.5340228923988137,3.534037980650151,206.4934457397461,201.44119537353515,179.48870704642638,0.31140428446979596,7.624257064141771,5.158979735862304,246.8047479379917,143.75510771386377
HD,2020-03-20,162.77999877929688,170.22000122070312,151.80999755859375,152.14999389648438,12602400,140.04148864746094,0.0,-5.573146350277314,-5.57316116701797,205.23862274169923,201.2533715057373,174.22907792656432,0.31418578336921493,-0.5844832864057513,3.212134896845194,246.2473594202724,135.88520130970807
HD,2020-03-23,150.05999755859375,164.92999267578125,146.33999633789062,162.38999938964844,12241600,149.46656799316406,0.0,6.730204340416135,6.730205053325111,204.11012908935547,201.11050590515137,170.9274099354443,0.3242728371034576,8.776008437872227,5.2719274052027485,244.07965455868793,131.08378385683943
HD,2020-03-24,173.38999938964844,185.6699981689453,172.00999450683594,184.72000122070312,14676600,170.01950073242188,0.0,13.750847906264664,13.750856138074852,203.41043090820312,201.0698178100586,170.8063553750413,0.35592545190504393,29.692359181858784,12.627961444441752,240.46698360147045,129.9947412520452
HD,2020-03-25,184.4199981689453,191.5500030517578,180.0,181.75999450683594,11497400,167.2950897216797,0.0,-1.6024289163632965,-1.602410899341411,202.67233673095703,201.01212158203126,170.33818662125978,0.35587241207054915,29.740227847140474,22.73619848895716,236.75313135531195,128.9264462814068
HD,2020-03-26,183.49000549316406,198.1999969482422,182.5,195.2100067138672,10170300,179.6746826171875,0.0,7.399874897402348,7.399854303018172,202.1915252685547,201.01650390625,171.58305275405016,0.3649811550637887,45.82708818416285,35.08655840438737,234.40763054259875,128.69234656921768
HD,2020-03-27,188.49000549316406,196.3800048828125,186.5,190.5500030517578,7121700,175.38555908203125,0.0,-2.3871745821615886,-2.3871607689407215,201.59238220214843,200.99524169921875,172.09005359778098,0.3653840401814964,40.7929054508444,38.78674049404924,232.6159001422434,128.10551404232694
HD,2020-03-30,190.57000732421875,198.1999969482422,187.61000061035156,196.10000610351562,6936700,180.49386596679688,0.0,2.912622914128371,2.91261544650685,201.01805541992186,200.98412536621095,173.21056191364977,0.3666792638435969,50.769060954712174,45.796351529906474,229.20677433713695,128.54060572878103
HD,2020-03-31,194.8000030517578,195.49000549316406,185.4499969482422,186.7100067138672,7335400,171.85113525390625,0.0,-4.788372818658515,-4.788379187623204,200.21437072753906,200.9143546295166,173.02930502568395,0.36918386099319417,47.340609273410905,46.30085855965583,225.48281894205388,128.60911221028988
HD,2020-04-01,175.91000366210938,182.75999450683594,175.0,178.6300048828125,7858200,164.4141387939453,0.0,-4.32756763992691,-4.327580640635831,199.24292846679688,200.80193588256836,171.88061619478546,0.37096691174057655,36.48432738211714,44.864665870080074,218.41183502129087,130.07955596992008
HD,2020-04-02,174.9499969482422,182.72000122070312,174.0,181.30999755859375,6353900,166.88087463378906,0.0,1.5003037577810074,1.5003185601545121,198.32173553466797,200.6995933532715,171.21398398665264,0.3710368877748474,45.59818198540277,43.141039546976934,211.77652403372036,131.9342669819046
HD,2020-04-03,179.55999755859375,181.35000610351562,174.94000244140625,178.6999969482422,7299800,164.4785919189453,0.0,-1.4395238241112884,-1.4395194896451913,197.33878204345703,200.5831625366211,170.31593171095835,0.37109460890225,41.425378362095856,41.16929590987192,205.61955705804695,133.64641736822256
HD,2020-04-06,188.0,192.41000366210938,185.1300048828125,191.3300018310547,7454000,176.1034698486328,0.0,7.067714101008393,7.067714888644128,196.61849822998047,200.5099119567871,171.08760346264827,0.3789188598816367,61.61797786163295,49.547179403043856,203.3378842757027,134.2960695817192
HD,2020-04-07,202.9199981689453,204.11000061035156,191.85000610351562,192.2899932861328,6438800,176.98709106445312,0.0,0.5017464307170094,0.5017625243726398,195.93069885253905,200.44947708129882,171.87420180955561,0.3790111569400892,56.3308496548654,53.124735292864735,197.347979057849,137.3489264597291
HD,2020-04-08,194.2100067138672,196.77000427246094,191.5399932861328,194.82000732421875,6094700,179.31570434570312,0.0,1.3157283927516694,1.315696680048828,195.24064727783204,200.41824821472167,172.8664021477086,0.3793818088417257,57.08102054534913,58.34328268728249,193.9944366056989,139.0392715852191
HD,2020-04-09,199.8000030517578,205.99000549316406,196.5,201.52999877929688,7125100,185.49169921875,0.0,3.444200391549823,3.4442018871588376,194.67118927001954,200.42133071899414,174.54977509051412,0.3787613586010484,65.63570305403401,59.682524418082856,195.53440183950875,138.50624147103815
HD,2020-04-13,200.4499969482422,200.4499969482422,195.3699951171875,198.7899932861328,4415600,182.96978759765625,0.0,-1.3596018011019506,-1.3595819283102606,194.0737860107422,200.4042184448242,175.67244342479975,0.377762658939939,32.253647873245214,51.65679049087612,194.3019326831647,139.1054647777728
HD,2020-04-14,201.8800048828125,209.72999572753906,200.1300048828125,207.1699981689453,5655400,190.682861328125,0.0,4.215506396617541,4.215490345012318,193.71640502929688,200.42296279907225,177.67383247857646,0.3759426343265302,46.6914730562551,48.19360799451144,197.28651977617855,140.00595916669252
HD,2020-04-15,198.6699981689453,202.24000549316406,196.61000061035156,198.47999572753906,5693900,182.6844482421875,0.0,-4.194623989096935,-4.19461562000264,193.13615295410156,200.39742576599122,178.34191458039126,0.378121112450029,24.30576344987895,34.416961459793086,198.76967032428087,140.8091275883168
